entry_id,name,formula,spacegroup,crystal_structure,band_gap,is_metal,energy_above_hull,is_stable,delta_e
352366,SnSbO3,O3SbSn,Pm-3m,cubic,0.0,True,0.4004488516790088,False,-1.30006886789749
354279,SnSbO3,O3SbSn,Pm-3m,cubic,0.0,True,0.5580874756790088,False,-1.14243024389749
693775,SnSbO3,O3SbSn,P4mm,tetragonal,0.0,True,0.3181550336790089,False,-1.38236268589749
692691,SnSbO3,O6Sb2Sn2,R-3,trigonal,0.0,True,0.3046337066790088,False,-1.39588401289749
693233,SnSbO3,O12Sb4Sn4,Pnma,orthorhombic,0.0,True,0.3294356916790089,False,-1.37108202789749
826987,SnSbO3,O6Sb2Sn2,R-3c,trigonal,0.0,True,0.3427134166790089,False,-1.35780430289749
350055,SnWO3,O3SnW,Pm-3m,cubic,0.0,True,1.7022754167401513,False,-0.281582618897493
351698,SnWO3,O3SnW,Pm-3m,cubic,0.0,True,0.3061145647401542,False,-1.67774347089749
680059,SnWO3,O3SnW,P4mm,tetragonal,0.0,True,0.3100263067401543,False,-1.67383172889749
680058,SnWO3,O3SnW,P4mm,tetragonal,0.0,True,0.7957907587401543,False,-1.18806727689749
678442,SnWO3,O6Sn2W2,R-3,trigonal,0.0,True,0.1868735227401543,False,-1.79698451289749
678441,SnWO3,O6Sn2W2,R-3,trigonal,0.0,True,0.1849773867401543,False,-1.79888064889749
681679,SnWO3,O12Sn4W4,Pnma,orthorhombic,0.0,True,0.3063016587401543,False,-1.67755637689749
681678,SnWO3,O12Sn4W4,Pnma,orthorhombic,0.0,True,0.3657854132401543,False,-1.61807262239749
826996,SnWO3,O6Sn2W2,R-3c,trigonal,0.0,True,0.3106336717401543,False,-1.67322436389749
827324,SnWO3,O6Sn2W2,R-3c,trigonal,0.534,False,0.4329498867401542,False,-1.55090814889749
355157,SrAgO3,AgO3Sr,Pm-3m,cubic,0.0,True,0.2635381335000015,False,-1.23344084902725
353157,SrAgO3,AgO3Sr,Pm-3m,cubic,0.0,True,1.2856717654999985,False,-0.211307217027253
681248,SrAgO3,AgO3Sr,P4mm,tetragonal,0.0,True,0.2613955655000015,False,-1.23558341702725
681249,SrAgO3,AgO3Sr,P4mm,tetragonal,0.0,True,0.7349942254999985,False,-0.761984757027253
679628,SrAgO3,Ag2O6Sr2,R-3,trigonal,0.0,True,0.3038073745000014,False,-1.19317160802725
679629,SrAgO3,Ag2O6Sr2,R-3,trigonal,0.0,True,0.3030704515000015,False,-1.19390853102725
682869,SrAgO3,Ag4O12Sr4,Pnma,orthorhombic,0.0,True,0.4499975070000015,False,-1.04698147552725
682868,SrAgO3,Ag4O12Sr4,Pnma,orthorhombic,0.0,True,0.1871505715000014,False,-1.30982841102725
825365,SrAgO3,Ag2O6Sr2,R-3c,trigonal,0.0,True,0.5506294484999985,False,-0.946349534027253
827000,SrAgO3,Ag2O6Sr2,R-3c,trigonal,0.0,True,0.1988996055000014,False,-1.29807937702725
354736,SrAlO3,AlO3Sr,Pm-3m,cubic,0.0,True,2.5532496517499985,False,-0.419818209527253
353000,SrAlO3,AlO3Sr,Pm-3m,cubic,0.0,True,0.1033952077500015,False,-2.86967265352725
680342,SrAlO3,AlO3Sr,P4mm,tetragonal,0.0,True,0.1045544157500018,False,-2.86851344552725
